S,D1,D2,D3,D4,D5,D6,D7,C
R,0,0,0,0,0,0,0,Y
R,0,55.57,5.24,4.63,0,2.02,1.06,N
R,643.98,0,0,348.58,0,29.85,0,N
R,53.57,147.62,74.92,631,222.59,217.69,157.39,N
R,0,0,14.99,14.99,14.99,0,0,N
R,1.67,0,0,0,0,0,0,N
R,0,29.98,14.99,29.98,29.98,89.94,14.99,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0.18,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
R,0,1.5,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
F,0,0,0,74.12,87.61,15.14,13.01,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,48.27,26.18,17.26,N
R,0,0,0,0,0,0,0,Y
R,0,0,16.28,6.44,0,0,0.34,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0.02,0,0,N
R,0,0,0,0,0,0,0,Y
R,3.18,12.81,7.85,27.76,33.5,16.92,34.07,N
R,25.88,0,0,0,0,0,1194.27,N
R,0,0,0,0,468.8,0,414.53,N
R,0,0,0,3.28,2.75,0,0,N
R,0,0,0,0,0,0,0,Y
R,2643.97,1181.54,253.14,0,0,0,556.37,N
R,0,0,10.57,3.09,0,3.48,55.28,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,39.38,12.89,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
F,0,104.9,56.19,0,252.54,0,425.39,N
R,0,0,0,0,0,0,0,Y
R,0,0,198.18,34.48,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,3605.25,663.84,1565.48,0.42,0.76,0,0,N
R,0,0,0,0,0,0,0,Y
R,30.35,60.65,57.85,30.18,1.65,0,25.32,N
R,18.24,187.06,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,1.21,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,236,880.16,24.58,334.53,279.66,0,N
F,0,0,0,0,0,0,0,Y
R,11.35,4.05,4.27,0.16,63.21,0.76,6.38,N
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,121.35,153.23,93.68,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,7.5,N
F,0,0.01,0,0,0,0,0,N
R,0,0,0,0,0,227.35,3.75,N
R,616.22,162.53,2246.47,1129.49,618.03,996.29,114.14,N
R,719.07,672.37,1365.57,562.5,617.86,137.19,186.01,N
R,244.74,546,718.97,157.47,163.47,30.46,258.22,N
R,1251.64,2266.81,125.08,1.32,0,864.32,28.23,N
R,1.76,0.51,1.39,0.72,0,0.61,1.82,N
R,9.09,0.06,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,624.87,356.92,76.43,149.03,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,192.01,400.28,7,0,0,0,N
R,17814.86,0,0,0,60316.47,29424.97,18476.73,N
R,0,0,0,0,0,0,0,Y
R,0,0,2.26,210.59,50.09,415.06,0.76,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
